track_name,track_id,album_name,album_id,artist_name,artist_id,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"""Slut!"" (Taylor's Version) (From The Vault)",0CD7DzeCsuPJygddqlUVYa,1989 (Taylor's Version) [Deluxe],1o59UpKw81iHR0HPiSkJR0,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-27,0.591,0.412,2,-13.27,1,0.0863,0.309,0.000199,0.0608,0.328,155.875,180381,4
Say Don't Go (Taylor's Version) (From The Vault),3CCRVu4F91Qp2mnGjmWBrf,1989 (Taylor's Version) [Deluxe],1o59UpKw81iHR0HPiSkJR0,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-27,0.633,0.551,4,-8.297,1,0.0341,0.066,9.94E-06,0.127,0.164,109.95,279833,4
Now That We Don't Talk (Taylor's Version) (From The Vault),5QUIK7ZtziW8kGWo8RqopF,1989 (Taylor's Version) [Deluxe],1o59UpKw81iHR0HPiSkJR0,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-27,0.8,0.501,0,-9.332,1,0.034,0.16,7.14E-05,0.0874,0.0831,110.013,146437,4
Suburban Legends (Taylor's Version) (From The Vault),6M9ppdfFjR1AbpUl3Y8DcV,1989 (Taylor's Version) [Deluxe],1o59UpKw81iHR0HPiSkJR0,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-27,0.701,0.625,0,-8.804,1,0.036,0.207,0,0.105,0.323,118.036,171819,4
Is It Over Now? (Taylor's Version) (From The Vault),6IG3sQ8s9nfk6TUlVzRhbN,1989 (Taylor's Version) [Deluxe],1o59UpKw81iHR0HPiSkJR0,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-27,0.595,0.656,0,-7.343,1,0.037,0.041,0,0.122,0.191,99.994,229478,4
"""Slut!"" (Taylor's Version) (From The Vault)",71BqAINEnezjQfxE4VuJfq,1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-26,0.629,0.413,7,-13.178,1,0.055,0.345,7.62E-05,0.0603,0.306,77.983,180381,4
Say Don't Go (Taylor's Version) (From The Vault),4NioO5R9sHEZh4cGzMHyNt,1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-26,0.626,0.547,4,-8.285,1,0.0342,0.0656,1.67E-05,0.149,0.192,109.946,279833,4
Now That We Don't Talk (Taylor's Version) (From The Vault),5KD6AEm19QnMbfWpfoOHMl,1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-26,0.793,0.512,0,-9.319,1,0.0338,0.186,3.81E-05,0.0889,0.0662,109.994,146437,4
Suburban Legends (Taylor's Version) (From The Vault),6T0sEnqjmHISIKwFETeeiP,1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-26,0.699,0.621,0,-8.739,1,0.0369,0.198,0,0.104,0.344,118.048,171819,4
Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,1989 (Taylor's Version),64LU4c1nfjz1t4VnGhagcg,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-10-26,0.596,0.658,0,-7.346,1,0.036,0.0504,0,0.127,0.176,100.012,229478,4
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),4e3ZNTAV6PCrdYMUrUlMpQ,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-07-07,0.547,0.855,7,-4.7,1,0.0597,0.0164,0,0.144,0.282,131.073,266467,4
When Emma Falls in Love (Taylor’s Version) (From The Vault),0zo975x58DlXbZllWvfYhg,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-07-07,0.474,0.763,2,-4.632,1,0.0505,0.159,0,0.138,0.231,78.133,252386,4
I Can See You (Taylor’s Version) (From The Vault),5kHMfzgLZP95O9NBy0ku4v,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-07-07,0.694,0.764,6,-4.893,1,0.0337,0.0586,0,0.0608,0.819,123.044,273186,4
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),4ABYxlb92WBIjHu7TIKmml,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-07-07,0.576,0.57,7,-7.925,1,0.0434,0.362,0,0.0668,0.378,147.803,306062,4
Foolish One (Taylor’s Version) (From The Vault),4s8BIKx4Zh6ryAEz8RTlaU,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-07-07,0.671,0.588,7,-4.675,1,0.0299,0.617,0,0.111,0.543,96.965,311765,4
Timeless (Taylor’s Version) (From The Vault),1HCdems7PQZRj42QDWLA0A,Speak Now (Taylor's Version),5AEDGbliTTfjOB8TSm1sxt,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2023-07-07,0.624,0.585,3,-5.847,1,0.0328,0.3,0,0.0916,0.65,142.883,321397,4
Better Man (Taylor's Version) (From The Vault),4OmFmE0fzcMG6g0Y8p4eSD,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-11-12,0.473,0.579,4,-5.824,1,0.0384,0.214,0,0.0877,0.255,73.942,297013,4
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),01K4zKU104LyJ8gMb7227B,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-11-12,0.606,0.377,0,-9.455,1,0.0275,0.817,0,0.154,0.446,101.96,258813,4
Babe (Taylor's Version) (From The Vault),0v4z1tuZvn6LGknom9Qx7d,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-11-12,0.584,0.743,4,-7.075,1,0.0931,0.0538,2.83E-06,0.121,0.746,167.844,224240,4
Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-11-12,0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72E-06,0.083,0.494,115.915,225960,4
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),4CkgMiMqZ5JzW9iYXSTMTL,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-11-12,0.391,0.715,0,-4.516,1,0.0495,0.167,0,0.183,0.473,149.654,285107,3
Forever Winter (Taylor's Version) (From The Vault),3oGVx9RBmiYGv5ZCecWLkx,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-11-12,0.611,0.552,7,-5.828,1,0.031,0.256,0,0.134,0.41,116.012,263533,4
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),4IQkfUsrwXol38VV3U7t7T,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-11-12,0.61,0.488,3,-6.918,1,0.0293,0.817,0,0.312,0.443,125.039,240227,4
The Very First Night (Taylor's Version) (From The Vault),6pYNq0ZwpPVazKzsqpf0G8,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-11-12,0.678,0.733,7,-5.025,1,0.0281,0.00115,0,0.104,0.581,121.009,200280,4
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,Red (Taylor's Version),6kZ42qRrzov54LcAk4onW9,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-11-12,0.631,0.518,0,-8.771,1,0.0303,0.274,0,0.088,0.205,93.023,613027,4
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),4CHpVfAhuxNJ3ibExe6kxO,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-04-09,0.599,0.494,2,-7.61,1,0.0372,0.816,0,0.101,0.44,142.893,220839,4
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),2CYVETnhM9aytqrazYYwrK,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-04-09,0.66,0.817,11,-6.269,0,0.0521,0.162,0,0.0667,0.714,135.942,277592,4
We Were Happy (Taylor’s Version) (From The Vault),34V9RiEPe8MNdU32qJsJa1,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-04-09,0.609,0.373,0,-8.819,1,0.0263,0.849,0,0.0779,0.13,106.007,244237,4
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),7eResoqEJJAVTkQYSqvO3P,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-04-09,0.588,0.608,5,-7.062,1,0.0365,0.225,0,0.092,0.508,90.201,189496,4
Don’t You (Taylor’s Version) (From The Vault),4uuEGH5SVuzkkSFjo2DEiY,Fearless (Taylor's Version),4hDok0OAJd57SGIT8xuWJH,Taylor Swift,06HL4z0CvFAxyc27GXpf02,2021-04-09,0.563,0.473,3,-11.548,1,0.0503,0.514,1.20E-05,0.109,0.405,101.934,208609,4
